City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
246,Watsa,CD,3.0372,29.5355,63.55,97,64,1.68,broken clouds
247,Ntungamo,UG,-0.8833,29.65,64.58,90,84,3.27,broken clouds
248,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,82,5,5.37,clear sky
249,Quixeramobim,BR,-5.1992,-39.2928,86.36,50,62,2.44,broken clouds
250,Bandarbeyla,SO,9.4942,50.8122,77.29,82,23,7.27,few clouds
251,Kohlu,PK,29.8962,69.252,60.37,47,0,6.11,clear sky
252,Antofagasta,CL,-23.65,-70.4,60.08,71,3,7.0,clear sky
253,Tullow,IE,52.8003,-6.7369,55.18,93,100,19.84,moderate rain
254,Faro,PT,37.0194,-7.9322,62.38,88,0,5.75,clear sky
255,Quatre Cocos,MU,-20.2078,57.7625,74.08,74,79,10.96,broken clouds
256,Dhidhdhoo,MV,6.8833,73.1,81.14,79,100,15.61,overcast clouds
257,Sirjan,IR,29.452,55.6814,58.86,25,2,5.32,clear sky
258,Kosino,RU,58.4127,51.2782,37.45,94,77,5.64,broken clouds
259,Matiri,TZ,-10.75,34.9,68.25,46,36,3.51,scattered clouds
260,Krasnoarmeyskoye,RU,52.7182,50.0322,50.76,96,100,8.59,moderate rain
261,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,87.46,53,73,9.95,broken clouds
262,Brikama,GM,13.2714,-16.6494,82.33,58,68,6.51,broken clouds
263,Tashtyp,RU,52.7939,89.8983,37.29,81,100,6.64,light rain
264,Kruisfontein,ZA,-34.0033,24.7314,56.14,60,72,13.71,broken clouds
265,Maceio,BR,-9.6658,-35.7353,81.84,89,0,10.36,clear sky
266,Somerset East,ZA,-32.7217,25.588,49.32,82,74,6.02,broken clouds
267,Berbera,SO,10.4396,45.0143,83.59,59,11,7.61,few clouds
268,Vrutky,SK,49.1133,18.9171,44.98,96,93,1.95,overcast clouds
269,Banki,IN,20.3833,85.5333,71.71,70,87,2.73,overcast clouds
270,Belmonte,BR,-15.8631,-38.8828,77.5,93,100,5.55,overcast clouds
271,Riberalta,BO,-10.9833,-66.1,89.35,49,90,3.51,overcast clouds
272,Soyo,AO,-6.1349,12.3689,77.86,85,100,8.81,overcast clouds
273,Manaskent,RU,42.7275,47.6785,43.97,93,0,4.47,clear sky
274,Nashville,US,36.1659,-86.7844,70.32,61,40,5.99,scattered clouds
275,Baherden,TM,38.4362,57.4316,55.78,22,0,6.64,clear sky
276,Sabaudia,IT,41.3003,13.0282,67.77,95,100,5.88,overcast clouds
277,Qaqortoq,GL,60.7167,-46.0333,34.3,73,36,1.03,scattered clouds
278,Nikki,BJ,9.9401,3.2108,74.32,78,100,5.17,overcast clouds
279,Diapaga,BF,12.0708,1.7889,80.71,59,100,5.93,overcast clouds
280,Kokologo,BF,12.1897,-1.8856,80.55,61,100,3.06,light rain
281,Macas,EC,-2.3167,-78.1167,78.55,73,40,5.75,moderate rain
282,Muravlenko,RU,63.7898,74.523,34.68,93,100,17.92,overcast clouds
283,Campo De Criptana,ES,39.4046,-3.1249,53.62,44,7,3.13,clear sky
284,Parana,AR,-31.732,-60.5238,68.47,64,27,4.54,scattered clouds
